comunidad_autonoma,dias_alta_contaminacion,percepcion_seguridad
Andalucía,9.459640188209244,6.980384706590802
Aragón,8.014918374558304,7.610370324488749
Asturias. Principado de,12.265946924829157,7.848352937399658
Balears. Illes,3.6529552123552125,6.309274833685574
Canarias,33.70045785876993,7.108965993568638
Cantabria,1.3472693693693694,7.825719572284855
Castilla - La Mancha,17.402873965936738,7.45315510776007
Castilla y León,2.779977081192189,7.7897601433430355
Cataluña,3.8046866240097503,6.1446728937897
Ceuta,1.9410380952380952,3.1017094283311515
Comunitat Valenciana,3.6490437556561086,6.781803562805389
Extremadura,3.2787782222222224,8.031160373074606
Galicia,3.9406897236614853,7.7455391544752255
Madrid. Comunidad de,6.44159525831564,6.694931899496362
Melilla,11.67144,7.464496061450557
Murcia. Región de,23.69541603174603,6.9521449672564435
Navarra. Comunidad Foral de,2.792503212851406,6.70868918620354
País Vasco,2.478692741935484,7.379636928044587
Rioja. La,1.3149258620689654,7.37068898133621
