comunidad_autonoma,edad,genero,actividad_fisica,asistencia_cine,asistencia_directos,asistencia_cultural,asistencia_deporte,dias_alta_contaminacion,estudios,estado_civil,horasTrabajadas_mes,salario_anual,satisf_hospitales,satisf_dentistas,satisf_especialistas,satisf_medGeneral,percepcion_seguridad
Extremadura,10,hombre,nivel_alto,no,no_puede,no,no,3.3774,primaria,soltero/a,0.0,0.0,satisfecho/a,muy_satisfecho/a,insatisfecho/a,satisfecho/a,8.260975411831534
Extremadura,18,mujer,nivel_alto,no,no,no_puede,no,1.4413,educacion_superior,casado/a,127.4882,23284.5483,insatisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.376973047797836
Extremadura,41,hombre,nivel_bajo,no,si,si,no,6.7861,primaria,soltero/a,153.6451,21607.6075,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.912741722538934
Extremadura,17,mujer,nivel_alto,si,no,no,no,2.5476,primero_secundaria,soltero/a,132.2961,29640.1647,insatisfecho/a,neutral,satisfecho/a,satisfecho/a,9.091575345290359
Extremadura,75,hombre,nivel_bajo,no,no,si,si,4.7876,segundo_secundaria_general,soltero/a,131.8787,17538.1113,satisfecho/a,satisfecho/a,insatisfecho/a,satisfecho/a,7.887051882749465
Extremadura,10,hombre,nivel_alto,no,no,si,si,2.8877,primaria,soltero/a,0.0,0.0,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.300175080477597
Extremadura,50,hombre,nivel_moderado,no,no,no,no,0.0,analfabetos,divorciado/a,183.3952,20266.402,neutral,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.939347973032392
Extremadura,37,mujer,nivel_bajo,no,no,si,si,3.0706,educacion_superior,divorciado/a,88.0609,26031.4494,neutral,satisfecho/a,neutral,satisfecho/a,8.729452054658552
Extremadura,72,hombre,nivel_alto,no,si,si,no,2.7385,segundo_secundaria_general,soltero/a,140.8554,20266.003,neutral,satisfecho/a,neutral,muy_satisfecho/a,7.978361942283574
Extremadura,23,hombre,nivel_alto,no,no_puede,no,no,1.3729,primero_secundaria,soltero/a,173.5763,25596.4287,satisfecho/a,satisfecho/a,neutral,satisfecho/a,8.272546653867906
