comunidad_autonoma,edad,genero,actividad_fisica,asistencia_cine,asistencia_directos,asistencia_cultural,asistencia_deporte,dias_alta_contaminacion,homicidios_100mhabit,criminalidad_1000habit,estudios,estado_civil,horasTrabajadas_mes,salario_anual,satisf_hospitales,satisf_dentistas,satisf_especialistas,satisf_medGeneral,frecuencia_felicidad
Extremadura,10,hombre,nivel_alto,no,no_puede,no,no,3.3774,0.0,35.1452,primero_secundaria,casado/a,174.4208,19251.351,hospitales_satisfecho/a,dentistas_muy_satisfecho/a,especialistas_insatisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,18,mujer,nivel_alto,no,no,no_puede,no,1.4413,0.3082,27.8585,educacion_superior,casado/a,127.4882,23284.5483,hospitales_insatisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,41,hombre,nivel_bajo,no,si,si,no,6.7861,0.0408,21.3189,primaria,soltero/a,153.6451,21607.6075,hospitales_satisfecho/a,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,17,mujer,nivel_alto,si,no,no,no,2.5476,0.5331,9.81,primero_secundaria,soltero/a,132.2961,29640.1647,hospitales_insatisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,75,hombre,nivel_bajo,no,no,si,si,4.7876,0.2332,38.9624,segundo_secundaria_general,soltero/a,131.8787,17538.1113,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_insatisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,10,hombre,nivel_alto,no,no,si,si,2.8877,0.6094,24.5804,primero_secundaria,soltero/a,116.7729,25270.5906,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,50,hombre,nivel_moderado,no,no,no,no,0.0,0.4862,33.8483,analfabetos,divorciado/a,183.3952,20266.402,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,algunas_veces
Extremadura,37,mujer,nivel_bajo,no,no,si,si,3.0706,0.4757,18.0489,educacion_superior,divorciado/a,88.0609,26031.4494,hospitales_neutral,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,72,hombre,nivel_alto,no,si,si,no,2.7385,0.2373,37.0513,segundo_secundaria_general,soltero/a,140.8554,20266.003,hospitales_neutral,dentistas_satisfecho/a,especialistas_neutral,medGeneral_muy_satisfecho/a,algunas_veces
Extremadura,23,hombre,nivel_alto,no,no_puede,no,no,1.3729,0.4161,28.2386,primero_secundaria,soltero/a,173.5763,25596.4287,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,37,hombre,nivel_moderado,no_puede,si,si,si,3.7953,0.6617,47.532,primero_secundaria,divorciado/a,83.7739,7508.6727,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,37,hombre,nivel_moderado,no,si,no,no,2.8194,0.2224,38.1634,educacion_superior,casado/a,166.5756,17682.8343,hospitales_neutral,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,30,hombre,nivel_alto,no,no,si,no,5.0184,0.495,21.465,primero_secundaria,soltero/a,133.0471,18700.5317,hospitales_satisfecho/a,dentistas_neutral,especialistas_muy_insatisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,12,mujer,nivel_bajo,no,si,si,no,1.5143,0.3781,33.965,segundo_secundaria_general,soltero/a,224.6457,16985.975,hospitales_satisfecho/a,dentistas_neutral,especialistas_insatisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,46,mujer,nivel_moderado,no,si,no,no,1.2998,0.532,32.8868,educacion_superior,soltero/a,145.8673,23382.5416,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_insatisfecho/a,muy_a_menudo
Extremadura,15,mujer,nivel_alto,no,no,no,no,1.3879,0.8236,39.599,primaria,viudo/a,129.2877,20065.7978,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,52,mujer,nivel_moderado,no_puede,si,no,no_puede,1.6948,0.4594,41.9818,estudios_primarios_incompletos,soltero/a,187.7833,29209.0077,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,17,mujer,nivel_bajo,si,no,si,no,2.8796,0.048,47.9764,estudios_primarios_incompletos,casado/a,190.0639,22757.7134,hospitales_neutral,dentistas_satisfecho/a,especialistas_muy_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,39,hombre,nivel_alto,si,no,no_puede,no_puede,4.6629,0.1971,55.9375,primero_secundaria,divorciado/a,134.07,25763.6157,hospitales_insatisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,46,hombre,nivel_bajo,no,no,si,no,4.4474,0.1041,45.8763,segundo_secundaria_profesional,soltero/a,205.9283,26323.0104,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,77,mujer,nivel_moderado,no,no_puede,si,no,8.8606,0.2202,30.199,segundo_secundaria_general,casado/a,102.1898,23372.845,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,algunas_veces
Extremadura,19,hombre,nivel_moderado,no,no_puede,no,no,4.6608,0.3434,40.9153,primaria,soltero/a,129.4921,20891.0669,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,21,mujer,nivel_alto,no,no,no,no,6.0224,0.5085,36.4401,primero_secundaria,soltero/a,111.2818,22295.0942,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,66,mujer,nivel_alto,si,no_puede,si,no,4.4651,0.1067,34.51,educacion_superior,divorciado/a,174.0828,35575.8991,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,algunas_veces
Extremadura,14,hombre,nivel_alto,si,no,no,no,1.506,0.4687,42.8976,primaria,soltero/a,185.749,16698.3825,hospitales_muy_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,76,mujer,nivel_moderado,no,no_puede,no,no,3.4062,0.68,47.501,educacion_superior,casado/a,77.8938,18791.5984,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,54,mujer,nivel_alto,si,no,no,si,2.4472,0.8706,22.5804,estudios_primarios_incompletos,soltero/a,204.982,21224.4577,hospitales_muy_insatisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,32,hombre,nivel_alto,no,no,no_puede,si,1.8015,0.6349,30.6119,segundo_secundaria_general,casado/a,145.1327,31099.6387,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,71,mujer,nivel_moderado,si,no,no,si,3.7813,0.3415,32.9981,segundo_secundaria_profesional,viudo/a,178.896,16847.0945,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,68,mujer,nivel_bajo,no,si,no,no,4.086,0.1149,26.7157,primero_secundaria,casado/a,121.7646,22249.3561,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,39,hombre,nivel_alto,si,si,si,si,4.112,0.8242,31.9945,primero_secundaria,casado/a,163.0231,21102.6113,hospitales_satisfecho/a,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,66,hombre,nivel_alto,si,si,si,no,4.675,0.307,37.7804,segundo_secundaria_general,casado/a,122.0459,27426.9184,hospitales_insatisfecho/a,dentistas_satisfecho/a,especialistas_muy_satisfecho/a,medGeneral_neutral,muy_a_menudo
