comunidad_autonoma;total;soltero/a;casado/a;viudo/a;separado/a;divorciado/a
Andalucía;8419.9;3871.4;3597.5;472.1;122.9;355.8
Aragón;1306.7;581.9;575.6;81.6;17.1;50.6
Asturias. Principado de;1004.2;407.7;446.5;88;20.8;41.2
Balears. Illes;1207.3;601.8;474.3;57.4;16.8;57
Canarias;2229.9;1124.7;782.6;125.1;39.7;157.8
Cantabria;576;254.3;252.1;36.9;8.6;24
Castilla y León;2337.6;992.9;1042.5;170.6;31.4;100.2
Castilla - La Mancha;2012.6;903.2;887.1;119.6;23.2;79.4
Cataluña;7570;3530.9;3044.3;448.8;116.9;429
Comunitat Valenciana;4997.4;2198.6;2147.7;311.6;70.4;269
Extremadura;1045.4;458.6;465.9;71.4;11.6;38
Galicia;2674.5;1078.6;1219.5;224.5;43.2;108.6
Madrid. Comunidad de;6680.7;3218.7;2815;335.1;80.5;231.4
Murcia. Región de;1500.1;696.2;652.2;69.2;16.9;65.6
Navarra. Comunidad Foral de;648.3;298.7;279.8;33.7;8.3;27.8
País Vasco;2163.6;985.6;917.4;151.7;26.3;82.6
Rioja. La;312.1;135.2;139.9;18.7;2.3;16
Ceuta;83.3;40.3;35.3;4.3;1.2;2.3
Melilla;83.4;43.4;31.8;4.1;0.7;3.4
