comunidad_autonoma;hospitales_muy_satisfecho/a;hospitales_satisfecho/a;hospitales_neutral;hospitales_insatisfecho/a;hospitales_muy_insatisfecho/a;dentistas_muy_satisfecho/a;dentistas_satisfecho/a;dentistas_neutral;dentistas_insatisfecho/a;dentistas_muy_insatisfecho/a;especialistas_muy_satisfecho/a;especialistas_satisfecho/a;especialistas_neutral;especialistas_insatisfecho/a;especialistas_muy_insatisfecho/a;medGeneral_muy_satisfecho/a;medGeneral_satisfecho/a;medGeneral_neutral;medGeneral_insatisfecho/a;medGeneral_muy_insatisfecho/a
Andalucía;12.31;43.93;27.5;9.68;6.59;14.06;54.66;22.64;3.08;5.57;15.8;55.54;22.52;3.25;2.88;21.6;54.78;17.45;4;2.18
Aragón;18.6;48.58;24.77;3.88;4.16;13.82;44.81;33.43;1.6;6.34;19.03;51.4;20.83;4.46;4.28;46.85;41.5;8.85;1.79;1.01
Asturias. Principado de;17.22;56.73;17.06;6.08;2.91;16.85;65.29;13.78;2.46;1.62;16.64;61.01;16.47;3.87;2.02;25.39;55.47;13.11;3.59;2.45
Balears. Illes;15.78;46.59;24.83;7.49;5.32;11.92;49.6;33.32;3.15;2.01;15.27;51.25;26.38;4.92;2.18;23.26;48.42;22.37;3.94;2.01
Canarias;21.66;33.99;26.33;8.95;9.07;20.77;31.03;9.79;3.44;34.97;36.93;33.31;16.55;6.42;6.79;38.68;38.24;14.52;4.2;4.36
Cantabria;27.78;45.94;17.72;4.89;3.67;38.61;41.87;13.59;3.38;2.55;29.88;44.84;16.3;5.69;3.29;49.43;37.46;9.29;2.23;1.59
Castilla y León;45.68;29.04;15.62;6.85;2.81;50.65;35.34;9.23;3.44;1.34;47.67;33.21;12.14;5.23;1.75;56.57;30.24;8.35;3.47;1.37
Castilla - La Mancha;9.37;59.06;17.97;7.62;5.99;7.77;67.69;15.77;4.95;3.83;9.96;66.16;15.9;4.89;3.09;15.62;67.7;9.39;3.84;3.45
Cataluña;17.4;49.49;19;8.45;5.66;19.77;62.38;11.75;3.68;2.42;23.71;59.69;11.51;3.07;2.02;29.32;56.03;10.02;3.1;1.53
Comunitat Valenciana;16.24;46.21;22.44;8.72;6.39;16.69;58.64;14.33;5.44;4.91;18.87;58.34;14.81;4.61;3.37;31.82;50.26;12.69;2.33;2.9
Extremadura;8.07;54.14;26.65;7.2;3.93;8.53;67.32;19.27;3.83;1.06;10.06;63.81;18.85;5.43;1.84;18.23;61.63;14.01;4.23;1.91
Galicia;13.87;47.29;22.81;10.24;5.79;15.7;62.48;16.19;3.69;1.94;16.92;58.85;15.74;5.44;3.06;24.89;57.3;12.36;3.71;1.73
Madrid. Comunidad de;10.6;47.18;25.16;11.79;5.27;9.5;60.48;17.76;7.3;4.96;12.63;64.05;16.37;4.71;2.24;24.69;54.53;13.08;4.83;2.87
Murcia. Región de;16.15;47.69;18.43;10.91;6.82;25.28;52.32;13.34;5.96;3.09;22.48;52.47;15.62;4.81;4.61;31.59;49.16;12.01;4.81;2.43
Navarra. Comunidad Foral de;9.74;64.16;16.92;6.71;2.47;9.16;71.15;8.22;2.87;8.6;12.64;71.44;10.94;3.32;1.67;21.02;64.03;9.81;3.29;1.85
País Vasco;32.37;45.64;15.06;4.7;2.23;30.54;49.42;14.91;2.29;2.84;36.44;45.67;12;3.96;1.94;45.16;41.5;8.67;2.8;1.88
Rioja. La;10.04;66.23;17.53;4.18;2.01;9.74;65.12;18.86;4.51;1.76;9.89;65.14;19.63;3.97;1.37;10.96;67.72;16.39;3.25;1.69
Ceuta;8.96;38.43;33.8;15.52;3.28;44.45;33.02;16.64;5.12;0.76;32.16;45.5;19.32;2.29;0.73;35.41;45.03;16.99;2.57;0
Melilla;10.75;38.2;16.33;18.68;16.04;8.13;62.81;13.43;7.29;8.34;15.2;53.94;13.99;9.75;7.12;29.45;55.74;6.29;5.16;3.36
