comunidad_autonoma;ambos_sexos;hombres;mujeres
Andalucía;8535;4203.6;4331.3
Aragón;1302.5;642.1;660.4
Asturias. Principado de;996.3;476.8;519.5
Balears. Illes;1246.6;620.7;625.9
Canarias;2277.6;1123.5;1154.1
Cantabria;581.5;283.7;297.8
Castilla y León;2329.5;1151.8;1177.8
Castilla - La Mancha;2047.7;1030.6;1017.1
Cataluña;7722.1;3780.2;3941.9
Comunitat Valenciana;5158.6;2533.4;2625.2
Extremadura;1036.4;514.4;522
Galicia;2673.5;1290.3;1383.3
Madrid. Comunidad de;6842.4;3281.9;3560.5
Murcia. Region de;1540;769.9;770.1
Navarra. Comunidad Foral de;658.5;325.7;332.8
País Vasco;2161.7;1047.3;1114.
Rioja. La;14.9;155.2;159.7
Ceuta;84;41.9;42.1
Melilla;80.6;40.3;40.3
